ID,rule_1_1,rule_1_11,rule_1_13,rule_1_14,rule_1_15,rule_1_15A,rule_1_15B,rule_1_16,rule_1_2,rule_1_3,rule_1_4,rule_1_5,rule_1_6,rule_1_7,rule_1_8,rule_1_9,rule_2_1,rule_2_2,rule_2_3,rule_2_4,rule_3_1,rule_3_2,rule_3_3,rule_3_4,rule_3_5,rule_3_6,rule_3_7,rule_3_8,rule_3_9,rule_4_1,rule_4_2,rule_4_3,rule_4_4,rule_5_1,rule_5_2,rule_5_3,rule_5_4,rule_5_5,rule_5_6,rule_5_7,rule_5_8,rule_6_1,rule_6_2,rule_6_3,rule_6_4,rule_6_5,rule_7_1,rule_7_2,rule_7_3,rule_7_4,rule_7_5,rule_7_6,rule_8_1,rule_8_2,rule_8_4,rule_8_4a,rule_8_4b,rule_8_4c,rule_8_4d,rule_8_4i,rule_8_4j,rule_8_4k,rule_8_4l,rule_8_4n,rule_8_5,PC1,PC2,PC3,PC4,PC5,PC6
27,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.7510583,3.227993,-.37457916,1.7543525,.19293565,1.6479174
28,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-6.9213319,3.6895635,1.5748286,1.1406503,-.83676785,1.3502402
29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4652928,-1.2123781,-.44271168,.51576251,-.26212788,.15813233
30,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0171551,.34302014,-.6575492,1.0371898,-.58605552,-.053505309
31,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3833976,.6176036,-.83736181,1.0310645,-.40205696,.53732854
32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.8193769,-.78413701,.083230451,.57821852,-.49462813,.21442585
33,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.8201365,-.047403879,-.029200574,.89665842,-.24478804,.45407873
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,-5.4858823,-.18967734,1.9224938,-.97407341,-1.705639,-1.4242389
35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.0752113,-.55275816,-.024476973,-.18409176,-.62451768,-.39518368
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.627679,-1.23619,-.12661006,.00043490506,-.44403997,-.13756293
